LEVEL,CODE,NATIONAL_TITLE_BE_NL,NATIONAL_TITLE_BE_FR,NATIONAL_TITLE_BE_DE,NATIONAL_TITLE_BE_EN
5,01.630,Behandeling van gewassen na de oogst en van zaden voor vermeerdering,Traitement primaire des récoltes et traitement des semences,Nach der Ernte anfallende Tätigkeiten in der pflanzlichen Erzeugung und Saatgutaufbereitung,Post-harvest crop activities and seed processing for propagation
3,01.7,"Jacht, zetten van vallen en diensten in verband met deze activiteiten","Chasse, piégeage et activités de service connexes","Jagd, Fallenstellerei und damit verbundene Tätigkeiten","Hunting, trapping and related service activities"
4,01.70,"Jacht, zetten van vallen en diensten in verband met deze activiteiten","Chasse, piégeage et activités de service connexes","Jagd, Fallenstellerei und damit verbundene Tätigkeiten","Hunting, trapping and related service activities"
5,01.700,"Jacht, zetten van vallen en diensten in verband met deze activiteiten","Chasse, piégeage et activités de service connexes","Jagd, Fallenstellerei und damit verbundene Tätigkeiten","Hunting, trapping and related service activities"
2,02,Bosbouw en exploitatie van bossen,Sylviculture et exploitation forestière,Forstwirtschaft und Holzeinschlag,Forestry and logging
3,02.1,Bosbouw en bosbouwactiviteiten,Sylviculture et autres activités forestières,Forstwirtschaft,Silviculture and other forestry activities
4,02.10,Bosbouw en bosbouwactiviteiten,Sylviculture et autres activités forestières,Forstwirtschaft,Silviculture and other forestry activities
5,02.100,Bosbouw en bosbouwactiviteiten,Sylviculture et autres activités forestières,Forstwirtschaft,Silviculture and other forestry activities
3,02.2,Exploitatie van bossen,Exploitation forestière,Holzeinschlag,Logging
4,02.20,Exploitatie van bossen,Exploitation forestière,Holzeinschlag,Logging
5,02.200,Exploitatie van bossen,Exploitation forestière,Holzeinschlag,Logging
3,02.3,Verzamelen van in het wild groeiende producten met uitzondering van hout,Récolte de produits forestiers non ligneux poussant à l’état sauvage,"Sammeln von wildwachsenden Produkten, ohne Holz",Gathering of wild growing non-wood products
4,02.30,Verzamelen van in het wild groeiende producten met uitzondering van hout,Récolte de produits forestiers non ligneux poussant à l’état sauvage,"Sammeln von wildwachsenden Produkten, ohne Holz",Gathering of wild growing non-wood products
5,02.300,Verzamelen van in het wild groeiende producten met uitzondering van hout,Récolte de produits forestiers non ligneux poussant à l’état sauvage,"Sammeln von wildwachsenden Produkten, ohne Holz",Gathering of wild growing non-wood products
3,02.4,Ondersteunende diensten in verband met de bosbouw,Activités de soutien à l’exploitation forestière,Erbringung von Dienstleistungen für Forstwirtschaft und Holzeinschlag,Support services to forestry
4,02.40,Ondersteunende diensten in verband met de bosbouw,Activités de soutien à l’exploitation forestière,Erbringung von Dienstleistungen für Forstwirtschaft und Holzeinschlag,Support services to forestry
5,02.400,Ondersteunende diensten in verband met de bosbouw,Activités de soutien à l’exploitation forestière,Erbringung von Dienstleistungen für Forstwirtschaft und Holzeinschlag,Support services to forestry
2,03,Visserij en aquacultuur,Pêche et aquaculture,Fischerei und Aquakultur,Fishing and aquaculture
3,03.1,Visserij,Pêche,Fischerei,Fishing
4,03.11,Zeevisserij,Pêche en mer,Meeresfischerei,Marine fishing
5,03.110,Zeevisserij,Pêche en mer,Meeresfischerei,Marine fishing
4,03.12,Binnenvisserij,Pêche en eau douce,Süßwasserfischerei,Freshwater fishing
5,03.120,Binnenvisserij,Pêche en eau douce,Süßwasserfischerei,Freshwater fishing
3,03.2,Aquacultuur,Aquaculture,Aquakultur,Aquaculture
4,03.21,Mariene aquacultuur,Aquaculture en mer,Meeresaquakultur,Marine aquaculture
5,03.210,Mariene aquacultuur,Aquaculture en mer,Meeresaquakultur,Marine aquaculture
4,03.22,Aquacultuur in zoet water,Aquaculture en eau douce,Süßwasseraquakultur,Freshwater aquaculture
5,03.220,Aquacultuur in zoet water,Aquaculture en eau douce,Süßwasseraquakultur,Freshwater aquaculture
3,03.3,Ondersteunende activiteiten voor visserij en aquacultuur,Activités de soutien à la pêche et l’aquaculture,Erbringung von Dienstleistungen für Fischerei und Aquakultur,Support activities for fishing and aquaculture
4,03.30,Ondersteunende activiteiten voor visserij en aquacultuur,Activités de soutien à la pêche et l’aquaculture,Erbringung von Dienstleistungen für Fischerei und Aquakultur,Support activities for fishing and aquaculture
5,03.300,Ondersteunende activiteiten voor visserij en aquacultuur,Activités de soutien à la pêche et l’aquaculture,Erbringung von Dienstleistungen für Fischerei und Aquakultur,Support activities for fishing and aquaculture
1,B,WINNING VAN DELFSTOFFEN,INDUSTRIES EXTRACTIVES,BERGBAU UND GEWINNUNG VON STEINEN UND ERDEN,MINING AND QUARRYING
2,05,Winning van steenkool en bruinkool,Extraction de houille et de lignite,Kohlenbergbau,Mining of coal and lignite
3,05.1,Winning van steenkool,Extraction de houille,Steinkohlenbergbau,Mining of hard coal
4,05.10,Winning van steenkool,Extraction de houille,Steinkohlenbergbau,Mining of hard coal
5,05.100,Winning van steenkool,Extraction de houille,Steinkohlenbergbau,Mining of hard coal
3,05.2,Winning van bruinkool,Extraction de lignite,Braunkohlenbergbau,Mining of lignite
4,05.20,Winning van bruinkool,Extraction de lignite,Braunkohlenbergbau,Mining of lignite
5,05.200,Winning van bruinkool,Extraction de lignite,Braunkohlenbergbau,Mining of lignite
2,06,Winning van aardolie en aardgas,Extraction d’hydrocarbures,Gewinnung von Erdöl und Erdgas,Extraction of crude petroleum and natural gas
3,06.1,Winning van aardolie,Extraction de pétrole brut,Gewinnung von Erdöl,Extraction of crude petroleum
4,06.10,Winning van aardolie,Extraction de pétrole brut,Gewinnung von Erdöl,Extraction of crude petroleum
5,06.100,Winning van aardolie,Extraction de pétrole brut,Gewinnung von Erdöl,Extraction of crude petroleum
3,06.2,Winning van aardgas,Extraction de gaz naturel,Gewinnung von Erdgas,Extraction of natural gas
4,06.20,Winning van aardgas,Extraction de gaz naturel,Gewinnung von Erdgas,Extraction of natural gas
5,06.200,Winning van aardgas,Extraction de gaz naturel,Gewinnung von Erdgas,Extraction of natural gas
2,07,Winning van metaalertsen,Extraction de minerais métalliques,Erzbergbau,Mining of metal ores
3,07.1,Winning van ijzererts,Extraction de minerais de fer,Eisenerzbergbau,Mining of iron ores
4,07.10,Winning van ijzererts,Extraction de minerais de fer,Eisenerzbergbau,Mining of iron ores
5,07.100,Winning van ijzererts,Extraction de minerais de fer,Eisenerzbergbau,Mining of iron ores
3,07.2,Winning van non-ferrometaalertsen,Extraction de minerais de métaux non ferreux,NE-Metallerzbergbau,Mining of non-ferrous metal ores
4,07.21,Winning van uranium- en thoriumerts,Extraction de minerais d’uranium et de thorium,Bergbau auf Uran- und Thoriumerze,Mining of uranium and thorium ores
5,07.210,Winning van uranium- en thoriumerts,Extraction de minerais d’uranium et de thorium,Bergbau auf Uran- und Thoriumerze,Mining of uranium and thorium ores
4,07.29,Winning van andere non-ferrometaalertsen,Extraction d’autres minerais de métaux non ferreux,Sonstiger NE-Metallerzbergbau,Mining of other non-ferrous metal ores
5,07.290,Winning van andere non-ferrometaalertsen,Extraction d’autres minerais de métaux non ferreux,Sonstiger NE-Metallerzbergbau,Mining of other non-ferrous metal ores
2,08,Overige winning van delfstoffen,Autres industries extractives,"Gewinnung von Steinen und Erden, sonstiger Bergbau",Other mining and quarrying
3,08.1,"Winning van steen, zand en klei","Extraction de pierres, de sables et d’argiles","Gewinnung von Natursteinen, Kies, Sand, Ton und Kaolin","Quarrying of stone, sand and clay"
4,08.11,"Winning van siersteen, kalksteen, gips, leisteen en andere steen","Extraction de pierres ornementales, de calcaire industriel, de gypse, d’ardoise et d’autres pierres","Gewinnung von Naturwerksteinen, Kalk- und Gipsstein, Schiefer und sonstigem Gestein","Quarrying of ornamental stone, limestone, gypsum, slate and other stone"
5,08.111,Winning van sier- en bouwsteen,Extraction de pierres ornementales et de construction,Gewinnung von Naturwerksteinen und Bausteinen,Quarrying of ornamental and building stone
5,08.112,"Winning van kalksteen, gips, leisteen en andere steen","Extraction de pierres calcaires, de gypse et d'ardoise et d’autres pierres","Gewinnung von Kalk- und Gipsstein, Schiefer und sonstigem Gestein","Quarrying of limestone, gypsum, slate and other stone"
4,08.12,"Winning van grind, zand, klei en kaolien","Exploitation de gravières et sablières, extraction d’argiles et de kaolin","Gewinnung von Kies und Sand, Ton und Kaolin",Operation of gravel and sand pits and mining of clay and kaolin
5,08.121,Winning van grind,Extraction de gravières,Gewinnung von Kies,Extraction of gravel
5,08.122,Winning van zand,Extraction de sablières,Gewinnung von Sand,Extraction of sand
5,08.123,Winning van klei en kaolien,Extraction d'argiles et de kaolin,"Abbau von Lehm, feuerfestem Lehm und Kaolin",Extraction of clay and kaolin
3,08.9,"Winning van delfstoffen, n.e.g.",Activités extractives n.c.a.,Sonstiger Bergbau; Gewinnung von Steinen und Erden a. n. g.,Mining and quarrying n.e.c.
4,08.91,Winning van mineralen voor de chemische en de kunstmestindustrie,Extraction de minéraux chimiques et d’engrais minéraux,Bergbau auf chemische und Düngemittelminerale,Mining of chemical and fertiliser minerals
5,08.910,Winning van mineralen voor de chemische en de kunstmestindustrie,Extraction de minéraux chimiques et d’engrais minéraux,Bergbau auf chemische und Düngemittelminerale,Mining of chemical and fertiliser minerals
4,08.92,Winning van turf,Extraction de tourbe,Torfgewinnung,Extraction of peat
5,08.920,Winning van turf,Extraction de tourbe,Torfgewinnung,Extraction of peat
4,08.93,Zoutwinning,Production de sel,Gewinnung von Salz,Extraction of salt
5,08.930,Zoutwinning,Production de sel,Gewinnung von Salz,Extraction of salt
4,08.99,"Overige winning van delfstoffen, n.e.g.",Autres activités extractives n.c.a.,Gewinnung von Steinen und Erden a. n. g.,Other mining and quarrying n.e.c.
5,08.990,"Overige winning van delfstoffen, n.e.g.",Autres activités extractives n.c.a.,Gewinnung von Steinen und Erden a. n. g.,Other mining and quarrying n.e.c.
2,09,Ondersteunende activiteiten in verband met de mijnbouw,Activités de soutien aux industries extractives,Erbringung von Dienstleistungen für den Bergbau und für die Gewinnung von Steinen und Erden,Mining support service activities
3,09.1,Ondersteunende activiteiten in verband met de aardolie- en aardgaswinning,Activités de soutien à l’extraction d’hydrocarbures,Erbringung von Dienstleistungen für die Gewinnung von Erdöl und Erdgas,Support activities for petroleum and natural gas extraction
4,09.10,Ondersteunende activiteiten in verband met de aardolie- en aardgaswinning,Activités de soutien à l’extraction d’hydrocarbures,Erbringung von Dienstleistungen für die Gewinnung von Erdöl und Erdgas,Support activities for petroleum and natural gas extraction
5,09.100,Ondersteunende activiteiten in verband met de aardolie- en aardgaswinning,Activités de soutien à l’extraction d’hydrocarbures,Erbringung von Dienstleistungen für die Gewinnung von Erdöl und Erdgas,Support activities for petroleum and natural gas extraction
3,09.9,Ondersteunende activiteiten in verband met de overige winning van delfstoffen,Activités de soutien aux autres industries extractives,Erbringung von Dienstleistungen für den sonstigen Bergbau und die Gewinnung von Steinen und Erden,Support activities for other mining and quarrying
4,09.90,Ondersteunende activiteiten in verband met de overige winning van delfstoffen,Activités de soutien aux autres industries extractives,Erbringung von Dienstleistungen für den sonstigen Bergbau und die Gewinnung von Steinen und Erden,Support activities for other mining and quarrying
5,09.900,Ondersteunende activiteiten in verband met de overige winning van delfstoffen,Activités de soutien aux autres industries extractives,Erbringung von Dienstleistungen für den sonstigen Bergbau und die Gewinnung von Steinen und Erden,Support activities for other mining and quarrying
1,C,INDUSTRIE,INDUSTRIE MANUFACTURIÈRE,VERARBEITENDES GEWERBE/HERSTELLUNG VON WAREN,MANUFACTURING
2,10,Vervaardiging van voedingsmiddelen,Industries alimentaires,Herstellung von Nahrungs- und Futtermitteln,Manufacture of food products
3,10.1,Verwerking en conservering van vlees en vervaardiging van vleesproducten,Transformation et conservation de la viande et préparation de produits à base de viande,Schlachten und Fleischverarbeitung,Processing and preserving of meat and production of meat products
4,10.11,"Verwerking en conservering van vlees, met uitzondering van vlees van gevogelte","Transformation et conservation de la viande, à l’exception de la viande de volaille","Schlachten, ohne Schlachten von Geflügel","Processing and preserving of meat, except of poultry meat"
5,10.111,Activiteiten van slachthuizen,Activités des abattoirs,Tätigkeiten von Schlachthäusern,Activities of slaughterhouses
5,10.112,Activiteiten van uitsnijderijen,Activités des ateliers de découpe de viande,Tätigkeiten von Zerlegungsbetrieben,Activities of meat cutting plants
5,10.113,Verwerking van afgeleide producten van vlees,Transformation des produits dérivés de la viande,Verarbeitung von Nebenprodukten aus Fleisch,Processing of meat products
5,10.119,"Overige verwerking en conservering van vlees, met uitzondering van vlees van gevogelte","Autre transformation et conservation de la viande, à l’exception de la viande de volaille","Sonstige Schlachten, ohne Schlachten von Geflügel","Other processing and preserving of meat, except poultry meat"
4,10.12,Verwerking en conservering van vlees van gevogelte,Transformation et conservation de la viande de volaille,Schlachten von Geflügel,Processing and preserving of poultry meat
5,10.120,Verwerking en conservering van vlees van gevogelte,Transformation et conservation de la viande de volaille,Schlachten von Geflügel,Processing and preserving of poultry meat
4,10.13,Vervaardiging van producten van vlees of van vlees van gevogelte,Préparation de produits à base de viande et viande de volaille,Fleischverarbeitung,Production of meat and poultry meat products
5,10.130,Vervaardiging van producten van vlees of van vlees van gevogelte,Préparation de produits à base de viande et viande de volaille,Fleischverarbeitung,Production of meat and poultry meat products
3,10.2,Verwerking en conservering van vis en van schaal- en weekdieren,"Transformation et conservation de poisson, de crustacés et de mollusques",Fischverarbeitung,"Processing and preserving of fish, crustaceans and molluscs"
4,10.20,Verwerking en conservering van vis en van schaal- en weekdieren,"Transformation et conservation de poisson, de crustacés et de mollusques",Fischverarbeitung,"Processing and preserving of fish, crustaceans and molluscs"
5,10.200,Verwerking en conservering van vis en van schaal- en weekdieren,"Transformation et conservation de poisson, de crustacés et de mollusques",Fischverarbeitung,"Processing and preserving of fish, crustaceans and molluscs"
3,10.3,Verwerking en conservering van groenten en fruit,Transformation et conservation de fruits et légumes,Obst- und Gemüseverarbeitung,Processing and preserving of fruit and vegetables
4,10.31,Verwerking en conservering van aardappelen,Transformation et conservation de pommes de terre,Kartoffelverarbeitung,Processing and preserving of potatoes
5,10.311,"Verwerking en conservering van aardappelen, exclusief productie van diepgevroren aardappelbereidingen","Transformation et conservation de pommes de terre, sauf fabrication de préparations surgelées à base de pommes de terre","Verarbeitung und Konservierung von Kartoffeln, mit Ausnahme von tiefgefrorenen Kartoffelerzeugnissen","Processing and preserving of potatoes, except manufacture of prepared frozen potatoes"
5,10.312,Productie van diepgevroren aardappelbereidingen,Fabrication de préparations surgelées à base de pommes de terre,Produktion von tiefgefrorenen Kartoffelerzeugnissen,Manufacture of prepared frozen potatoes
4,10.32,Vervaardiging van groente- en fruitsappen,Préparation de jus de fruits et légumes,Herstellung von Frucht- und Gemüsesäften,Manufacture of fruit and vegetable juice
5,10.320,Vervaardiging van groente- en fruitsappen,Préparation de jus de fruits et légumes,Herstellung von Frucht- und Gemüsesäften,Manufacture of fruit and vegetable juice
4,10.39,Overige verwerking en conservering van groenten en fruit,Autre transformation et conservation de fruits et légumes,Sonstige Verarbeitung von Obst und Gemüse,Other processing and preserving of fruit and vegetables
5,10.391,"Verwerking en conservering van groenten, exclusief productie van diepgevroren groenten","Transformation et conservation de légumes, sauf fabrication de légumes surgelés","Verarbeitung und Konservierung von Gemüse, mit Ausnahme der Herstellung von tiefgefrorenem Gemüse","Processing and preserving of vegetables, except manufacture of frozen vegetables"
5,10.392,"Verwerking en conservering van fruit, exclusief productie van diepgevroren fruit","Transformation et conservation de fruits, sauf fabrication de fruits surgelés","Verarbeitung und Konservierung von Obst, mit Ausnahme der Herstellung von tiefgefrorenem Obst","Processing and preserving of fruit, except manufacture of frozen fruit"
5,10.393,Productie van diepgevroren groenten en fruit,Fabrication de légumes et de fruits surgelés,Herstellung von tiefgefrorenem Gemüse und Obst,Manufacture of frozen fruit and vegetables
3,10.4,Vervaardiging van plantaardige en dierlijke oliën en vetten,Fabrication d’huiles et graisses végétales et animales,Herstellung von pflanzlichen und tierischen Ölen und Fetten,Manufacture of vegetable and animal oils and fats
4,10.41,Vervaardiging van oliën en vetten,Fabrication d’huiles et graisses,"Herstellung von Ölen und Fetten, ohne Margarine u. Ä. Nahrungsfette",Manufacture of oils and fats
5,10.410,Vervaardiging van oliën en vetten,Fabrication d’huiles et graisses,"Herstellung von Ölen und Fetten, ohne Margarine u. Ä. Nahrungsfette",Manufacture of oils and fats
4,10.42,Vervaardiging van margarine en andere spijsvetten,Fabrication de margarine et graisses comestibles similaires,Herstellung von Margarine u. Ä. Nahrungsfetten,Manufacture of margarine and similar edible fats
5,10.420,Vervaardiging van margarine en andere spijsvetten,Fabrication de margarine et graisses comestibles similaires,Herstellung von Margarine u. Ä. Nahrungsfetten,Manufacture of margarine and similar edible fats
3,10.5,Vervaardiging van zuivelproducten en consumptie-ijs,Fabrication de produits laitiers et de glace alimentaire,Herstellung von Milcherzeugnissen und Speiseeis,Manufacture of dairy products and edible ice
4,10.51,Vervaardiging van zuivelproducten,Fabrication de produits laitiers,Herstellung von Milcherzeugnissen,Manufacture of dairy products
5,10.510,Vervaardiging van zuivelproducten,Fabrication de produits laitiers,Herstellung von Milcherzeugnissen,Manufacture of dairy products
4,10.52,Vervaardiging van roomijs en ander consumptie-ijs,Fabrication de crèmes glacées et autres glaces alimentaires,Herstellung von Speiseeis,Manufacture of ice cream and other edible ice
5,10.520,Vervaardiging van roomijs en ander consumptie-ijs,Fabrication de crèmes glacées et autres glaces alimentaires,Herstellung von Speiseeis,Manufacture of ice cream and other edible ice
